,kinect_id,person_id,movementAmount,isTalking,headAngle,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,HandLeft_x,HandLeft_y,HandLeft_z,HandRight_x,HandRight_y,HandRight_z,leanVector_x,leanVector_z,weighted_name,timeframe,minute,activity
98,3455463847,7.20576E+16,0,FALSE,1.269119336,1.010015,4.207413,1.3368434,0.997482,4.183426,1.2251503,1.198615,4.190788,1.2150193,0.982178,4.202679,1.0963604,1.245413,4.224412,1.2934991,0.991348,4.185774,0.9371976,1.128105,4.162486,1.3079818,-0.883507,0.1096826,zoe,4/6/18 16:13,4/6/18 16:13,i
99,3455463847,7.20576E+16,10.289,FALSE,1.269119336,1.085531,4.212532,1.324288,1.034089,4.164076,1.2157245,1.191435,4.208049,1.2745688,0.974739,4.161905,1.155464,1.243392,4.20367,1.2034138,0.983197,4.162319,1.3144212,1.205224,4.203364,1.3248568,-0.3442765,0.01419967,zoe,4/6/18 16:13,4/6/18 16:13,i
100,9615764747,7.20576E+16,5.449,FALSE,1.039953533,2.093959254,2.334408738,1.9302473,2.183171923,2.36403342,1.8271377,2.0268264,2.309189097,1.8786941,2.271073539,2.428311911,1.7369069,2.071454472,2.300065066,1.6986908,2.334648605,2.547057619,1.8654503,2.047591079,2.442510294,1.52476468,-0.04134219,0.1286058,ken,4/6/18 16:13,4/6/18 16:13,i
101,9615764747,7.20576E+16,7.436,FALSE,0.818136147,2.139236289,2.923909859,1.556521383,2.268712649,3.080050317,1.3588825,2.146705222,2.841685655,1.3486371,2.299567211,3.094946462,1.1376149,2.095961276,2.699496894,1.360357,2.303969264,3.134299735,0.9127208,1.92215176,2.918641487,1.3109004,0.1229915,-0.183682,sue,4/6/18 16:13,4/6/18 16:13,i
102,9615764747,7.20576E+16,7.351,TRUE,-1.426473862,2.476829102,4.491580272,1.47358952,2.562981699,4.46337816,1.228912,2.354450939,4.360267998,1.3160702,2.56575025,4.483635264,1.030078,2.270896184,4.365925822,1.1295314,2.80965255,4.535532287,1.1219376,2.387525291,4.453575754,1.0119179,-0.1355985,0.2292564,mia,4/6/18 16:13,4/6/18 16:13,i
103,9615764747,7.20576E+16,3.313,FALSE,1.174499127,2.089278033,2.33428091,1.9301798,2.182743804,2.363420771,1.8344032,2.033697665,2.305702307,1.8767864,2.257108013,2.423175793,1.7294999,2.139865355,2.436795737,1.7828135,2.104476876,2.50989209,1.707912,2.157777231,2.575775517,1.58559901,-0.0438194,0.1401837,ken,4/6/18 16:13,4/6/18 16:13,i
104,9615764747,7.20576E+16,8.32,FALSE,1.152666433,2.480272303,4.496349736,1.46664043,2.563164881,4.463554955,1.2366843,2.353364862,4.36013945,1.3157374,2.566083469,4.484076633,1.0377558,2.272053628,4.37436035,1.1281809,2.806731977,4.506951529,1.1468955,2.401301958,4.455294356,1.0100222,-0.1550212,0.2342715,mia,4/6/18 16:13,4/6/18 16:13,i
105,3455463847,7.20576E+16,0.658,FALSE,-1.451984336,2.9311406,1.012269,1.2952246,3.0018705,1.003363,1.3576086,2.8763551,0.996974,1.3520051,2.917355,0.914897,1.2423196,2.9497141,0.95299,1.2123393,2.840089,0.746639,0.9890862,2.9675225,0.833427,1.029346,0.1424525,0.1120703,ben,4/6/18 16:13,4/6/18 16:13,tprinter
106,9615764747,7.20576E+16,4.76,FALSE,1.033290047,2.089195833,2.336365303,1.9283338,2.181257482,2.362298626,1.8300463,2.031131847,2.31668968,1.8694951,2.256148022,2.427827766,1.7284384,2.163047424,2.375637124,1.7469548,2.325240136,2.570249188,1.7677401,2.104365743,2.339839308,1.50170063,-0.0282777,0.2652017,ken,4/6/18 16:13,4/6/18 16:13,i
107,9615764747,7.20576E+16,1.694,FALSE,1.160929437,2.483125114,4.49654052,1.46816926,2.563959469,4.463725322,1.235658,2.354015918,4.361420974,1.3146333,2.56687304,4.484242053,1.0367449,2.275662582,4.373033378,1.1259898,2.816456855,4.49236148,1.1221562,2.407047745,4.453866205,1.0088406,-0.1550212,0.2342715,mia,4/6/18 16:13,4/6/18 16:13,i
